Model,Price,Range,Charging_time,Top_speed,Motor_type,Battery_type,Battery_capacity,Wheels_type,Tyre_type
Ola S1,1,128,,95,Mid Drive IPM,,3 kWh,Aluminium Alloy,Tubeless
TVS iQube Electric,1.6,100,2 Hour 50 Min - 80%,78,BLDC,Lithium Ion,3.04 kwh,Alloy,Tubeless
Ather 450X,0.98,146,5 hours 40 minutes,90,PMSM,Lithium-ion,3.7 kWh,Alloy,Tubeless
Bajaj Chetak,1.22,90,4 Hours,63,BLDC,Lithium Ion,3.04,Alloy,Tubeless
Ola S1 Pro,1.24,181,,116,Mid Drive IPM,,4 kWh,Aluminium Alloy,Tubeless
Simple One,1.09,300,,105,PMAC,Lithium Ion,4.8 kWh ,Alloy,Tubeless
Vida V1,1.28,165,65 minutes ( 0-80 ),80,PMSM,,3.94 kWh,Alloy,Tubeless
Hero Electric Optima,0.67,140,,45,BLDC,,1.54,Alloy,
Ampere Magnus EX,0.84,121,,50,BLDC,Lithium Ion,2.3,Alloy,
Bounce Infinity E1,0.64,85,,65,BLDC,Lithium Ion,1.9 KWh,Alloy,Tubeless
Okinawa PraisePro,1,88,,58,BLDC,Lithium Ion,2.0 kWh,Alloy,Tubeless
Kinetic Green Zoom,0.75,100,,40,BLDC,Lithium Ion,1.68,ALLOY,Tubeless
Ampere Primus,1.09,107,,77,PMSM,LFP,3 Kwh,Alloy,Tubeless
Kinetic Green Zing,0.72,100,,45,BLDC,Lithium Ion,1.68,ALLOY,Tubeless
River Indie,1.25,120,,90,Mid-Drive PMSM,Lithium-Ion,4 kWh,Alloy Wheels,
Okinawa R30,0.62,60,,25,BLDC,Lithium-Ion,1.25 KWH,Alloy,Tubeless
Okinawa iPraise+,1.45,139,,58,BLDC,Lithium Ion,3.3 KWH,Alloy,Tubeless
Hero Electric NYX,0.74,100,,42,BLDC,Lithium-Ion,2.69,Alloy,Tube
AMO Electric Jaunty-3W,0.63,75,6 Hours,25,Brushless DC,VRLA,1.56,Alloy,Tubeless
Ujaas eZy,0.32,60,,,BLDC,Lead Acid,1.25,Alloy,Tubeless
Ozotec Flio,1.13,,,,BLDC,,,Alloy,Tubeless
Gravton Quanta,0.99,,,70,BLDC,Lithium Ion, 2.5 kWh,Alloy,Tubeless
Hero Electric Photon,0.86,60,,45,BLDC,Li-ion,1.44,Steel,Tube
Avon E Plus,0.25,50,,24,BLDC,VRLA,0.58,Alloy,Tube
Komaki XGT KM,0.43,150,,,BLDC,Lithium-Ion,,,Tubeless
Avon E Lite,0.28,50,,24,BLDC,VRLA,0.576,Alloy,Tube
Lohia Oma Star,0.41,60,,25,BLDC,VRLA,0.96,Alloy,Tube
Avon E Scoot,0.45,65,,24,BLDC,VRLA,0.96,Alloy,Tubeless
Kinetic Green Flex,1.18,120,3 Hours,72,BLDC,Lithium-Ion,3.1 Kwh,Alloy,Tubeless
Avon E Star,0.6,65,,50,BLDC,Lead Acid,1.58,Alloy,Tube
Avon E Mate,0.45,65,,18,BLDC,VRLA,0.96,Alloy,Tube
Lohia Oma Star Li,0.52,60,,25,BLDC,Lithium Ion,0.2,Alloy,Tubeless
Okinawa Ridge,0.7,84,,45,BLDC,Lithium Ion,1.75 KWH,Alloy,Tubeless
BattRE Electric LoEV,0.69,60,,,BLDC,Lithium Ferro Phosphate,3.1 kWh,Iron Rims,Tubeless
Joy e-bike Gen Next Nanu,0.77,90,,46,Brushless DC,Lithium Ion,1.86,Alloy,Tubeless
Joy e-bike Wolf,0.8,90,,46,Brushless DC,Lithium Ion,1.86,Alloy,Tubeless
Joy e-bike Glob,0.77,60,,25,Brushless DC,Lithium-Ion,1.38,Alloy,Tubeless
Tunwal Sports 63 Alpha 48V,0.55,70,,,BLDC,Lithium Ion,1.25,Alloy,Tubeless
Tunwal Sport 63 Mini,0.5,70,,,BLDC,Lithium Ion,1.25,Alloy,Tubeless
Tunwal Sport 63 Mid,0.72,110,,,BLDC,Lithium Ion,1.56,Alloy,Tubeless
Tunwal Mini Lithino,0.55,70,,,BLDC,Lithium Ion,1.25,Alloy,Tubeless
Tunwal Lithino 2.0,0.72,85,,,BLDC,Lithium Ion,1.56,Alloy,Tubeless
Tunwal Elektrika 60,0.65,120,,,BLDC,Lithium Ion,1.56,Alloy,Tubeless
BattRE Electric IOT,0.81,85,,110,BLDC,Lithium Ion,1.44,Alloy,Tubeless
Ujaas eGo Li,0.51,75,,,BLDC,Lithium Ion,1.56,Alloy,Tubeless
Kabira Mobility Intercity Neo,0.57,110,,24,BLDC,Lithium Ion,2.1,Alloy,Tubeless
Kabira Mobility Kollegio Plus,0.48,110,,24,BLDC,Lithium Ion,2.1,Alloy,Tubeless
Kabira Mobility Aetos 100,0.55,110,,24,BLDC,Lithium Ion,2.1,Alloy,Tubeless
Revolt RV400,1.24,150,4.5 Hours,85,Mid Drive,Lithium-Ion,3.24 KWh,Alloy,Tubeless
Ultraviolette F77,3.8,307,5 Hours,152,Permanent Magnet AC Motor,Lithium-ion,10.3 kWh,,
Tork Kratos,1.22,180,,105,PMAC,,4 kWh,Alloy,Tubeless
Oben Rorr,1.02,200,,100,IPMSM Motor,,4.4 kwh,Alloy,Tubeless
Odysse Electric Evoqis,1.71,,,80,BLDC,Lithium-Ion,4.32 kWh,Alloy,Tubeless
Matter Aera,1.43,125,2 Hours,,BLDC,,5 kWh,Alloy,
One Electric Motorcycles Kridn,1.35,110,,95,PMAC,Lithium Ion,3 kWh,Alloy,
Komaki Ranger,1.85,200,,,BLDC,Lithium Ion,3.6,Alloy,Tubeless
Power EV P-Sport,1.45,210,,85,Hub Motor,Lithium Ion,4.32 kwh,Alloy,Tubeless
Odysse Electric VADER,1.09,,,85,Hub Motor,Lithium-ion,3.7 Kwh,,
